1,2,3,4,5,6,7,9,10
4940,590,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,0.381
9283,584,No,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,0.377
15265,577,No,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,0.373
5121,567,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.366
6796,565,Yes,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Unknown,0.365
1798,564,No,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,0.365
4938,558,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,0.361
4951,548,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,0.354
4993,547,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.354
5089,547,No,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,0.354
2071,538,No,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,0.348
1903,515,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.333
5065,492,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,0.318
14311,492,Yes,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,0.318
1872,487,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.315
714,487,No,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,0.315
17256,483,No,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,0.312
4936,483,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,0.312
4584,477,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.308
15452,471,No,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,0.304
17237,468,No,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,0.302
1699,462,Yes,Bacteroidetes,Bacteroidia,Bacteroidales,Unknown,Unknown,0.299
15356,454,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,0.293
4749,447,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.289
14861,446,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,0.288
4705,444,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.287
9286,442,No,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,0.286
1855,437,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.282
5809,435,No,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,0.281
15054,430,Yes,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,0.278
15091,423,Yes,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Unknown,0.273
4328,421,No,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,0.272
6939,405,No,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,0.262
5190,394,No,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,0.255
4826,391,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.253
2230,380,No,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.246
15249,370,No,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,0.239
4581,367,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,0.237
3677,363,No,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,0.235
9262,360,No,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_unclassified,Burkholderiales_unclassified,0.233
2286,358,No,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.231
5087,354,No,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,0.229
15031,352,No,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,0.228
14313,351,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.227
6783,347,No,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,0.224
2290,346,Yes,Bacteroidetes,Bacteroidia,Bacteroidales,Unknown,Unknown,0.224
4425,342,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,0.221
15089,341,No,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,0.220
15271,340,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruthenibacterium,0.220
6962,333,No,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,0.215
5785,332,No,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,0.215
9260,331,No,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,0.214
4191,327,No,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,0.211
1891,323,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.209
1812,319,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.206
1861,317,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.205
5090,317,No,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,0.205
1613,316,No,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,0.204
1877,315,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.204
2301,315,No,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.204
14993,314,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Butyricicoccus,0.203
4652,310,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.200
4564,305,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.197
6478,303,No,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,0.196
15180,302,No,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,0.195
15234,292,No,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,0.189
9346,289,No,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,0.187
15132,286,No,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Flavonifractor,0.185
15090,286,No,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,0.185
5077,282,No,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,0.182
4716,279,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.180
13976,273,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.176
4247,272,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.176
4557,263,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,0.170
15346,262,Yes,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unknown,0.169
6276,257,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.166
4871,256,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.165
5045,253,No,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,0.164
15244,252,Yes,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,0.163
1829,251,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.162
4532,250,No,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,0.162
16955,246,No,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,0.159
9228,245,No,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,0.158
15078,244,No,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,0.158
8002,243,No,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,0.157
15216,243,Yes,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,0.157
1680,242,No,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,0.156
8601,242,No,Candidatus_Melainabacteria,Candidatus_Melainabacteria_unclassified,Candidatus_Melainabacteria_unclassified,Candidatus_Melainabacteria_unclassified,Candidatus_Melainabacteria_unclassified,0.156
15260,242,Yes,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Unknown,0.156
9340,242,Yes,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Unknown,Unknown,0.156
6473,238,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.154
5736,238,No,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,0.154
1844,234,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.151
4422,233,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,0.151
5858,227,No,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,0.147
9333,227,No,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,0.147
4280,224,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.145
5066,218,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,0.141
8010,217,No,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,0.140
6308,217,Yes,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Unknown,0.140
9273,217,No,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,0.140
2043,215,No,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae_unclassified,0.139
5118,211,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,0.136
1679,210,No,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,0.136
5076,208,No,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,0.134
6806,206,No,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,0.133
10115,206,No,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,0.133
4365,205,Yes,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unknown,0.132
9347,204,No,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,0.132
4882,201,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,0.130
4964,199,Yes,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,0.129
1888,198,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.128
2328,195,Yes,Bacteroidetes,Bacteroidia,Bacteroidales,Unknown,Unknown,0.126
1024,193,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.125
4820,192,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.124
9272,192,Yes,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Unknown,0.124
15467,190,No,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,0.123
5062,186,Yes,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Unknown,0.120
15323,185,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,0.120
4886,185,No,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,0.120
14322,184,No,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,0.119
15267,184,Yes,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Unknown,0.119
1677,183,No,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,0.118
2313,181,No,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.117
4272,180,No,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,0.116
4421,180,Yes,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unknown,0.116
6362,178,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.115
6744,178,No,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,0.115
2240,177,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.114
4758,176,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,0.114
14114,174,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,0.112
4659,173,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.112
6584,173,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.112
1472,171,Yes,Bacteroidetes,Bacteroidia,Bacteroidales,Unknown,Unknown,0.111
1554,169,No,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,0.109
4335,169,Yes,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,0.109
1668,166,Yes,Bacteroidetes,Bacteroidia,Bacteroidales,Unknown,Unknown,0.107
6340,166,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.107
4547,166,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,0.107
4894,165,No,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,0.107
15322,162,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,0.105
15326,162,Yes,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unknown,0.105
6778,161,No,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,0.104
2021,161,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,0.104
15236,157,Yes,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Unknown,0.101
6579,154,No,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,0.100
14507,153,Yes,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Unknown,0.099
7962,153,No,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,0.099
6952,153,No,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,0.099
9450,152,No,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,0.098
1867,151,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.098
1666,149,No,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,0.096
15198,148,Yes,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,0.096
17241,146,No,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,0.094
9281,146,Yes,Proteobacteria,Betaproteobacteria,Burkholderiales,Unknown,Unknown,0.094
7061,145,No,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,0.094
5083,145,Yes,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Unknown,0.094
13972,145,No,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,0.094
5803,145,No,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,0.094
9280,145,Yes,Proteobacteria,Betaproteobacteria,Burkholderiales,Unknown,Unknown,0.094
17130,142,No,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,0.092
4753,141,Yes,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,0.091
1957,140,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.090
1644,140,No,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,0.090
4373,140,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,0.090
14991,138,Yes,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,0.089
15093,137,Yes,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,0.089
15291,137,Yes,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,0.089
15374,137,Yes,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,0.089
4588,136,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.088
4828,133,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.086
9712,133,No,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,0.086
14909,132,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.085
15315,132,Yes,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unknown,0.085
14874,132,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,0.085
1657,131,No,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,0.085
4364,131,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.085
16975,130,No,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,0.084
17247,129,No,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,0.083
1477,128,No,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,0.083
6310,128,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.083
9701,128,No,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,0.083
8255,127,Yes,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Unknown,0.082
14773,126,Yes,Actinobacteria,Coriobacteriia,Eggerthellales,Unknown,Unknown,0.081
8076,126,No,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,0.081
1475,125,Yes,Bacteroidetes,Bacteroidia,Bacteroidales,Unknown,Unknown,0.081
5818,125,No,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,0.081
14209,124,Yes,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,0.080
16988,123,No,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,0.079
4577,123,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,0.079
1588,121,No,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,0.078
4317,121,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,0.078
19351,121,No,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,0.078
1564,120,No,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,0.078
1963,119,No,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,0.077
2479,119,No,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,0.077
15317,118,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,0.076
4197,118,Yes,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unknown,0.076
6750,117,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.076
6936,117,No,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,0.076
6317,116,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.075
4037,116,No,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,0.075
1899,114,No,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.074
4909,114,Yes,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Unknown,0.074
6031,114,No,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,0.074
4868,113,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.073
15333,113,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,0.073
5989,113,No,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,0.073
5868,112,No,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,0.072
17007,111,No,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,0.072
6571,111,No,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,0.072
14853,111,No,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,0.072
14797,110,Yes,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Unknown,0.071
6312,110,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.071
15107,110,Yes,Firmicutes,Clostridia,Clostridiales,Unknown,Unknown,0.071
9342,110,No,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,0.071
2227,109,No,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.070
4721,107,No,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.069
4654,107,No,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,0.069
